"nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.bodymass","CWM.Vertebrate","CWM.Invertebrate","CWM.Fish","CWM.Seed","CWM.Fruit","CWM.Root","CWM.Woody","CWM.Herbaceous","CWM.Nectar","CWM.aquatic","CWM.terrestrial","CWM.fossorial","CWM.arboreal","shortName","nLocomotor","nTrophic"
58,58,2.86726741037333e-07,0.245927495326894,0.880559071632592,0.64445943098445,0.168133122442609,0.0304302764311634,237599.558103448,2.83636363636364,3.05454545454545,3.92727272727273,3.76363636363636,3.2,3.65454545454545,3.29090909090909,2.96363636363636,4,"0","1","0","0","Chobe",4,16
28,28,5.49353178114769e-08,0.245927495326894,0.923294032789198,0.716805929782748,0.166445429319256,0.0329372362142317,28982.6838392857,2.46428571428571,2.64285714285714,3.85714285714286,3.78571428571429,3.03571428571429,3.82142857142857,3.42857142857143,3.25,4,"0","1","0","0","Cliffs of Bandiagara",4,12
53,53,7.60775320842406e-05,0.245927495326894,0.793268722512145,0.675490350658088,0.20372354187065,0.045062072447464,132775.072169811,2.69230769230769,2.78846153846154,3.78846153846154,3.55769230769231,2.21153846153846,3.75,3.30769230769231,3.42307692307692,4,"0","1","0","0","Congo Basin",5,13
48,48,3.91460833263463e-05,0.245927495326894,0.882168556330913,0.652767335556656,0.196139994853753,0.0421045507385384,114056.174270833,2.60869565217391,2.89130434782609,3.8695652173913,3.60869565217391,2.30434782608696,3.69565217391304,3.17391304347826,3.21739130434783,4,"0","1","0","0","Conkouati-Douli NP",5,14
37,37,6.44968734148821e-05,0.245927495326894,0.81180014797797,0.64636016611213,0.203058661225288,0.0451368886384862,177662.323081081,2.75,2.77777777777778,3.75,3.69444444444444,2.08333333333333,3.66666666666667,3.33333333333333,3.25,4,"0","1","0","0","Cross River",5,13
32,32,9.31221729310327e-08,0.245927495326894,0.85081812777748,0.671962347172001,0.163057145143249,0.0289382769378608,30844.0615625,2.53125,2.78125,3.84375,3.875,3.375,3.6875,3.28125,3.21875,4,"0","1","0","0","Daan Viljoen GP",3,14
41,41,2.00380408775592e-06,0.245927495326894,0.911608979875363,0.661118847465354,0.172760091534586,0.0348891028853129,128746.241158537,2.5609756097561,2.8780487804878,3.82926829268293,3.78048780487805,3.09756097560976,3.80487804878049,3.31707317073171,2.92682926829268,4,"0","1","0","0","Deux Bales",4,14
25,25,2.41963386552329e-07,0.245927495326894,0.956758005763335,0.686394996978967,0.160828966055412,0.0306553468706638,14879.0739,2.36,2.44,3.96,3.76,3.04,3.8,3.44,3.4,4,"0","1","0","0","Diawling NP",4,11
16,16,1.27379916007339e-07,0.245927495326894,0.928308011893316,0.6656859309013,0.161059944823638,0.0303742956321436,15046.778125,2.375,2.8125,3.5625,3.8125,2.8125,3.625,3.71428571428571,3.64285714285714,4,"0","1","0","0","Djurdjura NP",4,9
34,34,5.51782169234983e-05,0.245927495326894,0.839106603147122,0.659460183205699,0.210131814287372,0.0469009629376123,194250.692691176,2.84375,2.875,3.84375,3.65625,2.03125,3.625,3.1875,3.0625,4,"0","1","0","0","East of River Niger",5,13
