"name","area","WDPAid","patchRichness","nPatches","stddev_WC","mean_WC","analysis_scale"
"Madjoari",295.085396310225,9265,9,2431,0.100028038734941,0.21870503373886,100
"Siniaka-Minia",4324.81636920566,5165,8,25452,0.0494917192910002,0.379024498286761,100
"Ouadi-Rimé-Ouadi Achim",83325.069787164,1250,6,63563,0.0177431743334455,0.022887299649284,100
"Zemongo",13733.4708663777,2259,9,138755,0.126134693556983,0.632602814779336,100
"Gishwati",14.4628396538684,21416,7,252,0.0448932294287517,0.800452909251443,100
"Budongo",821.541205277058,34804,8,2810,0.092085716572666,0.795794953134695,100
"North Rwenzori",35.4453071510627,555549367,9,486,0.0655511215844052,0.690348586886768,100
"Arabuko Sokoke",370.010104295181,7422,8,2446,0.0475269438181283,0.805725578315512,100
"Mount Elgon",607.569354283619,7660,10,4557,0.0761313758775269,0.803674317499182,100
"Kakamega",180.976326687368,33450,9,654,0.0688040958952046,0.802257032389092,100
"Partial Reserve Buffalo",333.318022205527,4494,8,2303,0.100795403775502,0.500744417198021,100
"Ngotto",801.028951910029,28745,8,357,0.0265671998586551,0.820509949389452,100
"Massif du Ziama",918.655546737231,29066,9,2907,0.0397989749774374,0.807098446677204,100
"Bahr Salamat",21293.2320330112,5164,11,138208,0.0701541772692763,0.375813203455659,100
"Abou Telfane",1086.90997171352,9034,6,7273,0.0868670443478843,0.355076764012182,100
"Mount Nimba",146.235689350114,29067,10,1102,0.133839156119237,0.778067611694946,100
"Kourtiagou",438.007831799519,3226,6,2600,0.0797774070717333,0.217602283386484,100
"Pama",2340.91524855995,3228,10,9610,0.0786710344999467,0.216696895724821,100
"Sahel",18220.047721804,3225,9,44081,0.0297256211780777,0.0124966235970334,100
"Integral Nature Reserve and the Luando",8771.82686895232,3066,11,77816,0.143349750550398,0.620612315949429,100
"Salonga",33517.3375087849,478292,11,4441,0.0200439887998717,0.864599471786092,100
"Benoué",1672.71905691748,3011,8,11947,0.117599691649767,0.411805267331916,100
"Tassili N'Ajjer",99109.4396900303,20389,7,8856,NA,NA,100
"Okavango Delta",20505.4728414007,555577555,10,91945,0.10042364948056,0.472696390977121,100
